Adawaty Master Tools Database v1.0
Part 1 — PDF Tools (001–100)

Category: PDF


| #   | English               | Arabic                | Slug                  |
| 035 | AZW3 to PDF           | AZW3 إلى PDF          | azw3-to-pdf           |
| 036 | PDF to RTF            | PDF إلى RTF           | pdf-to-rtf            |
| 037 | RTF to PDF            | RTF إلى PDF           | rtf-to-pdf            |
| 038 | PDF to ODT            | PDF إلى ODT           | pdf-to-odt            |
| 039 | ODT to PDF            | ODT إلى PDF           | odt-to-pdf            |
| 040 | PDF to DOCX           | PDF إلى DOCX          | pdf-to-docx           |
| 041 | DOCX to PDF           | DOCX إلى PDF          | docx-to-pdf           |
| 042 | PDF to CSV            | PDF إلى CSV           | pdf-to-csv            |
| 043 | CSV to PDF            | CSV إلى PDF           | csv-to-pdf            |
| 044 | PDF to XML            | PDF إلى XML           | pdf-to-xml            |
| 045 | XML to PDF            | XML إلى PDF           | xml-to-pdf            |
| 046 | PDF to JSON           | PDF إلى JSON          | pdf-to-json           |
| 047 | JSON to PDF           | JSON إلى PDF          | json-to-pdf           |
| 048 | Extract PDF Pages     | استخراج صفحات PDF     | extract-pdf-pages     |
| 049 | Delete PDF Pages      | حذف صفحات PDF         | delete-pdf-pages      |
| 050 | Rotate PDF            | تدوير صفحات PDF       | rotate-pdf            |
| 051 | Reorder PDF Pages     | إعادة ترتيب الصفحات   | reorder-pdf           |
| 052 | Duplicate PDF Pages   | تكرار صفحات           | duplicate-pdf-pages   |
| 053 | Reverse PDF Pages     | عكس ترتيب الصفحات     | reverse-pdf-pages     |
| 054 | Insert Blank Page     | إضافة صفحة فارغة      | insert-blank-page     |
| 055 | Insert Image into PDF | إضافة صورة إلى PDF    | insert-image-pdf      |
| 056 | Insert Text into PDF  | إضافة نص              | insert-text-pdf       |
| 057 | Insert Page Numbers   | ترقيم الصفحات         | page-numbers-pdf      |
| 058 | Add Header            | إضافة Header          | pdf-header            |
| 059 | Add Footer            | إضافة Footer          | pdf-footer            |
| 060 | Add Watermark         | إضافة علامة مائية     | watermark-pdf         |
| 061 | Remove Watermark      | إزالة العلامة المائية | remove-watermark-pdf  |
| 062 | Add Logo              | إضافة شعار            | add-logo-pdf          |
| 063 | Remove Logo           | إزالة شعار            | remove-logo-pdf       |
| 064 | Add Background        | إضافة خلفية           | add-background-pdf    |
| 065 | Remove Background     | إزالة الخلفية         | remove-background-pdf |
| 066 | Crop PDF              | قص الصفحات            | crop-pdf              |
| 067 | Resize PDF Pages      | تغيير حجم الصفحات     | resize-pdf            |
| 068 | Change Page Size      | تغيير مقاس الصفحة     | change-page-size      |
| 069 | Convert to A4         | تحويل إلى A4          | pdf-a4                |
| 070 | Convert to Letter     | تحويل إلى Letter      | pdf-letter            |
| 071 | Convert to Legal      | تحويل إلى Legal       | pdf-legal             |
| 072 | Optimize PDF          | تحسين PDF             | optimize-pdf          |
| 073 | Flatten PDF           | تسطيح PDF             | flatten-pdf           |
| 074 | Linearize PDF         | تهيئة للويب           | linearize-pdf         |
| 075 | Repair PDF            | إصلاح PDF             | repair-pdf            |
| 076 | Recover PDF           | استعادة PDF           | recover-pdf           |
| 077 | Unlock PDF            | فك حماية PDF          | unlock-pdf            |
| 078 | Lock PDF              | حماية PDF بكلمة مرور  | lock-pdf              |
| 079 | Encrypt PDF           | تشفير PDF             | encrypt-pdf           |
| 080 | Decrypt PDF           | فك التشفير            | decrypt-pdf           |
| 081 | Remove Password       | إزالة كلمة المرور     | remove-password-pdf   |
| 082 | Set Permissions       | تحديد الصلاحيات       | pdf-permissions       |
| 083 | Sign PDF              | توقيع PDF             | sign-pdf              |
| 084 | Verify Signature      | التحقق من التوقيع     | verify-pdf-signature  |
| 085 | Fill PDF Form         | تعبئة النماذج         | fill-pdf-form         |
| 086 | Create PDF Form       | إنشاء نموذج PDF       | create-pdf-form       |
| 087 | OCR PDF               | OCR على PDF           | ocr-pdf               |
| 088 | OCR Arabic PDF        | OCR عربي              | ocr-arabic-pdf        |
| 089 | OCR English PDF       | OCR إنجليزي           | ocr-english-pdf       |
| 090 | OCR Multi Language    | OCR متعدد اللغات      | ocr-multilang-pdf     |
| 091 | Extract Images        | استخراج الصور         | extract-images-pdf    |
| 092 | Extract Text          | استخراج النص          | extract-text-pdf      |
| 093 | Extract Fonts         | استخراج الخطوط        | extract-fonts-pdf     |
| 094 | Extract Metadata      | استخراج Metadata      | extract-metadata-pdf  |
| 095 | Remove Metadata       | حذف Metadata          | remove-metadata-pdf   |
| 096 | View Metadata         | عرض Metadata          | view-metadata-pdf     |
| 097 | Compare PDFs          | مقارنة ملفين PDF      | compare-pdf           |
| 098 | Redact PDF            | إخفاء بيانات حساسة    | redact-pdf            |
| 099 | Search in PDF         | البحث داخل PDF        | search-pdf            |
| 100 | Batch PDF Converter   | تحويل عدة ملفات PDF   | batch-pdf-converter   |


Adawaty Master Tools Database v1.0
Part 2 — PDF Tools (101–200)

Category: PDF


| #   | English                   | Arabic                            | Slug                      |
| --- | ------------------------- | --------------------------------- | ------------------------- |
| 101 | Batch PDF Compressor      | ضغط عدة ملفات PDF                 | batch-pdf-compressor      |
| 102 | Batch PDF Merger          | دمج عدة ملفات PDF                 | batch-pdf-merger          |
| 103 | Batch PDF Splitter        | تقسيم عدة ملفات PDF               | batch-pdf-splitter        |
| 104 | Batch PDF OCR             | OCR جماعي                         | batch-pdf-ocr             |
| 105 | Batch Watermark           | إضافة علامة مائية جماعية          | batch-watermark-pdf       |
| 106 | Batch Remove Watermark    | إزالة العلامة المائية جماعيًا     | batch-remove-watermark    |
| 107 | Batch Rotate PDF          | تدوير ملفات PDF جماعيًا           | batch-rotate-pdf          |
| 108 | Batch Rename PDFs         | إعادة تسمية ملفات PDF             | batch-rename-pdf          |
| 109 | Batch Unlock PDF          | فك حماية مجموعة ملفات             | batch-unlock-pdf          |
| 110 | Batch Lock PDF            | حماية مجموعة ملفات                | batch-lock-pdf            |
| 111 | PDF Page Extractor        | استخراج صفحات محددة               | pdf-page-extractor        |
| 112 | PDF Page Inserter         | إدراج صفحات                       | pdf-page-inserter         |
| 113 | PDF Page Duplicator       | نسخ الصفحات                       | pdf-page-duplicator       |
| 114 | PDF Page Replacer         | استبدال صفحة                      | pdf-page-replacer         |
| 115 | PDF Page Organizer        | منظم صفحات PDF                    | pdf-page-organizer        |
| 116 | Odd Pages Extractor       | استخراج الصفحات الفردية           | odd-pages-pdf             |
| 117 | Even Pages Extractor      | استخراج الصفحات الزوجية           | even-pages-pdf            |
| 118 | Remove Blank Pages        | حذف الصفحات الفارغة               | remove-blank-pages        |
| 119 | Detect Blank Pages        | اكتشاف الصفحات الفارغة            | detect-blank-pages        |
| 120 | Insert Cover Page         | إضافة صفحة غلاف                   | insert-cover-page         |
| 121 | Insert Last Page          | إضافة صفحة أخيرة                  | insert-last-page          |
| 122 | Create Booklet PDF        | إنشاء كتيب PDF                    | booklet-pdf               |
| 123 | Print Ready PDF           | تهيئة للطباعة                     | print-ready-pdf           |
| 124 | Book Printing Layout      | تنسيق طباعة كتاب                  | book-print-layout         |
| 125 | Book Fold Layout          | تنسيق الطباعة المطوية             | book-fold-layout          |
| 126 | N-up PDF                  | دمج صفحات في صفحة واحدة           | nup-pdf                   |
| 127 | Poster PDF                | تقسيم للطباعة كملصق               | poster-pdf                |
| 128 | Resize Margins            | تعديل الهوامش                     | resize-pdf-margins        |
| 129 | Auto Margin Crop          | قص الهوامش تلقائيًا               | auto-margin-crop          |
| 130 | Remove White Borders      | إزالة الإطارات البيضاء            | remove-white-borders      |
| 131 | Grayscale PDF             | تحويل للأبيض والأسود              | grayscale-pdf             |
| 132 | Black & White PDF         | تحويل لأسود وأبيض                 | bw-pdf                    |
| 133 | Sepia PDF                 | تأثير سيبيا                       | sepia-pdf                 |
| 134 | Invert PDF Colors         | عكس الألوان                       | invert-pdf-colors         |
| 135 | Night Mode PDF            | وضع القراءة الليلي                | night-mode-pdf            |
| 136 | Reduce PDF Colors         | تقليل الألوان                     | reduce-pdf-colors         |
| 137 | Optimize Images in PDF    | تحسين الصور داخل PDF              | optimize-images-pdf       |
| 138 | Compress Images in PDF    | ضغط الصور داخل PDF                | compress-images-pdf       |
| 139 | Replace Images in PDF     | استبدال الصور                     | replace-images-pdf        |
| 140 | Remove Images from PDF    | حذف الصور                         | remove-images-pdf         |
| 141 | Extract Embedded Files    | استخراج الملفات المرفقة           | extract-embedded-files    |
| 142 | Attach Files to PDF       | إرفاق ملفات داخل PDF              | attach-files-pdf          |
| 143 | Embed Fonts               | تضمين الخطوط                      | embed-fonts-pdf           |
| 144 | Subset Fonts              | تقليل الخطوط                      | subset-fonts-pdf          |
| 145 | Replace Fonts             | استبدال الخطوط                    | replace-fonts-pdf         |
| 146 | PDF Font Inspector        | فحص الخطوط                        | pdf-font-inspector        |
| 147 | PDF Accessibility Checker | فحص إمكانية الوصول                | pdf-accessibility         |
| 148 | Make Accessible PDF       | تحسين إمكانية الوصول              | accessible-pdf            |
| 149 | Tagged PDF Creator        | إنشاء Tagged PDF                  | tagged-pdf                |
| 150 | Validate PDF/A            | التحقق من PDF/A                   | validate-pdfa             |
| 151 | Convert to PDF/A          | تحويل إلى PDF/A                   | convert-pdfa              |
| 152 | Convert to PDF/X          | تحويل إلى PDF/X                   | convert-pdfx              |
| 153 | Convert to PDF/E          | تحويل إلى PDF/E                   | convert-pdfe              |
| 154 | Convert to PDF/UA         | تحويل إلى PDF/UA                  | convert-pdfua             |
| 155 | PDF Standards Checker     | فحص توافق المعايير                | pdf-standards-checker     |
| 156 | Digital Signature Creator | إنشاء توقيع رقمي                  | digital-signature-pdf     |
| 157 | Timestamp PDF             | إضافة ختم زمني                    | timestamp-pdf             |
| 158 | Certificate Viewer        | عرض الشهادات                      | pdf-certificate-viewer    |
| 159 | Certificate Validator     | التحقق من الشهادات                | pdf-certificate-validator |
| 160 | Certificate Remover       | حذف الشهادات                      | remove-pdf-certificates   |
| 161 | Highlight Text            | تمييز النص                        | highlight-pdf             |
| 162 | Underline Text            | وضع خط تحت النص                   | underline-pdf             |
| 163 | Strikeout Text            | شطب النص                          | strikeout-pdf             |
| 164 | Sticky Notes              | إضافة ملاحظات                     | sticky-notes-pdf          |
| 165 | Draw on PDF               | الرسم على PDF                     | draw-pdf                  |
| 166 | Freehand Annotation       | رسم حر                            | freehand-pdf              |
| 167 | Arrow Annotation          | إضافة أسهم                        | arrow-pdf                 |
| 168 | Rectangle Annotation      | إضافة مستطيل                      | rectangle-pdf             |
| 169 | Circle Annotation         | إضافة دائرة                       | circle-pdf                |
| 170 | Text Annotation           | إضافة تعليق نصي                   | text-annotation-pdf       |
| 171 | Export Annotations        | تصدير التعليقات                   | export-pdf-comments       |
| 172 | Import Annotations        | استيراد التعليقات                 | import-pdf-comments       |
| 173 | Remove Annotations        | حذف التعليقات                     | remove-pdf-comments       |
| 174 | PDF Comment Viewer        | عرض التعليقات                     | pdf-comment-viewer        |
| 175 | PDF Bookmark Creator      | إنشاء فهرس إشارات                 | bookmark-pdf              |
| 176 | PDF Bookmark Editor       | تعديل الإشارات المرجعية           | edit-bookmarks-pdf        |
| 177 | Export Bookmarks          | تصدير الإشارات                    | export-bookmarks-pdf      |
| 178 | Import Bookmarks          | استيراد الإشارات                  | import-bookmarks-pdf      |
| 179 | Generate TOC              | إنشاء جدول محتويات                | generate-pdf-toc          |
| 180 | Auto TOC Generator        | جدول محتويات تلقائي               | auto-toc-pdf              |
| 181 | PDF Viewer Online         | عارض PDF                          | pdf-viewer                |
| 182 | Fullscreen PDF Viewer     | عرض ملء الشاشة                    | fullscreen-pdf            |
| 183 | Continuous Scroll Viewer  | عرض مستمر                         | continuous-pdf            |
| 184 | Presentation Mode         | وضع العرض                         | presentation-pdf          |
| 185 | PDF Reader with Search    | قارئ مع بحث                       | pdf-reader-search         |
| 186 | Read Aloud PDF            | قراءة PDF صوتيًا                  | read-aloud-pdf            |
| 187 | Translate PDF             | ترجمة PDF                         | translate-pdf             |
| 188 | AI Summarize PDF          | تلخيص PDF بالذكاء الاصطناعي       | ai-summarize-pdf          |
| 189 | AI Explain PDF            | شرح PDF بالذكاء الاصطناعي         | ai-explain-pdf            |
| 190 | AI Chat with PDF          | الدردشة مع PDF                    | chat-with-pdf             |
| 191 | AI Extract Tables         | استخراج الجداول بالذكاء الاصطناعي | ai-table-extractor        |
| 192 | AI Form Recognizer        | التعرف على النماذج                | ai-form-recognizer        |
| 193 | AI Invoice Extractor      | استخراج بيانات الفواتير           | invoice-extractor         |
| 194 | AI Resume Parser          | تحليل السيرة الذاتية              | resume-parser             |
| 195 | AI Contract Analyzer      | تحليل العقود                      | contract-analyzer         |
| 196 | AI PDF Translator         | ترجمة احترافية                    | ai-pdf-translator         |
| 197 | AI PDF Reviewer           | مراجعة PDF                        | ai-pdf-reviewer           |
| 198 | AI PDF Q&A                | أسئلة وأجوبة من PDF               | pdf-qa                    |
| 199 | AI Research Assistant     | مساعد بحث من PDF                  | research-pdf              |
| 200 | AI Knowledge Extractor    | استخراج المعرفة من PDF            | knowledge-extractor       |

Adawaty Master Tools Database v1.0
Part 3 — Image Tools (001–100)

Category: Images


| #   | English                   | العربية               | Slug                      |
| --- | ------------------------- | --------------------- | ------------------------- |
| 001 | Image Compressor          | ضغط الصور             | image-compressor          |
| 002 | Lossless Image Compressor | ضغط بدون فقدان الجودة | lossless-image-compressor |
| 003 | Smart Image Compressor    | ضغط ذكي               | smart-image-compressor    |
| 004 | Resize Image              | تغيير حجم الصورة      | resize-image              |
| 005 | Resize by Width           | تغيير حسب العرض       | resize-width              |
| 006 | Resize by Height          | تغيير حسب الارتفاع    | resize-height             |
| 007 | Resize by Percentage      | تغيير بالنسبة المئوية | resize-percent            |
| 008 | Crop Image                | قص الصورة             | crop-image                |
| 009 | Smart Crop                | قص ذكي                | smart-crop                |
| 010 | Square Crop               | قص مربع               | square-crop               |
| 011 | Circle Crop               | قص دائري              | circle-crop               |
| 012 | Rotate Image              | تدوير الصورة          | rotate-image              |
| 013 | Flip Horizontal           | قلب أفقي              | flip-horizontal           |
| 014 | Flip Vertical             | قلب رأسي              | flip-vertical             |
| 015 | Mirror Image              | عكس الصورة            | mirror-image              |
| 016 | Straighten Image          | تصحيح الميل           | straighten-image          |
| 017 | Auto Rotate               | تدوير تلقائي          | auto-rotate-image         |
| 018 | Auto Crop                 | قص تلقائي             | auto-crop-image           |
| 019 | Perspective Correction    | تصحيح المنظور         | perspective-correction    |
| 020 | Deskew Image              | تصحيح الميل الضوئي    | deskew-image              |

Image Conversion

| #   | English     | العربية      | Slug        |
| --- | ----------- | ------------ | ----------- |
| 021 | JPG to PNG  | JPG إلى PNG  | jpg-to-png  |
| 022 | PNG to JPG  | PNG إلى JPG  | png-to-jpg  |
| 023 | WEBP to JPG | WEBP إلى JPG | webp-to-jpg |
| 024 | JPG to WEBP | JPG إلى WEBP | jpg-to-webp |
| 025 | PNG to WEBP | PNG إلى WEBP | png-to-webp |
| 026 | WEBP to PNG | WEBP إلى PNG | webp-to-png |
| 027 | BMP to PNG  | BMP إلى PNG  | bmp-to-png  |
| 028 | PNG to BMP  | PNG إلى BMP  | png-to-bmp  |
| 029 | GIF to PNG  | GIF إلى PNG  | gif-to-png  |
| 030 | PNG to GIF  | PNG إلى GIF  | png-to-gif  |
| 031 | TIFF to JPG | TIFF إلى JPG | tiff-to-jpg |
| 032 | JPG to TIFF | JPG إلى TIFF | jpg-to-tiff |
| 033 | HEIC to JPG | HEIC إلى JPG | heic-to-jpg |
| 034 | HEIC to PNG | HEIC إلى PNG | heic-to-png |
| 035 | AVIF to JPG | AVIF إلى JPG | avif-to-jpg |
| 036 | JPG to AVIF | JPG إلى AVIF | jpg-to-avif |
| 037 | RAW to JPG  | RAW إلى JPG  | raw-to-jpg  |
| 038 | RAW to PNG  | RAW إلى PNG  | raw-to-png  |
| 039 | SVG to PNG  | SVG إلى PNG  | svg-to-png  |
| 040 | PNG to SVG  | PNG إلى SVG  | png-to-svg  |

Image Enhancement


| #   | English                | العربية                        | Slug              |
| --- | ---------------------- | ------------------------------ | ----------------- |
| 041 | AI Image Enhancer      | تحسين الصورة بالذكاء الاصطناعي | ai-image-enhancer |
| 042 | AI Upscale             | تكبير الصورة بالذكاء الاصطناعي | ai-upscale        |
| 043 | 4x Upscaler            | تكبير ×4                       | 4x-upscale        |
| 044 | 8x Upscaler            | تكبير ×8                       | 8x-upscale        |
| 045 | Sharpen Image          | زيادة الحدة                    | sharpen-image     |
| 046 | Denoise Image          | إزالة التشويش                  | denoise-image     |
| 047 | Deblur Image           | إزالة الضبابية                 | deblur-image      |
| 048 | Restore Old Photo      | ترميم الصور القديمة            | restore-old-photo |
| 049 | Repair Damaged Photo   | إصلاح الصور التالفة            | repair-photo      |
| 050 | Colorize Black & White | تلوين الصور القديمة            | colorize-photo    |

Background Tools

| #   | English                | العربية              | Slug                   |
| --- | ---------------------- | -------------------- | ---------------------- |
| 051 | Remove Background      | إزالة الخلفية        | remove-background      |
| 052 | Transparent Background | خلفية شفافة          | transparent-background |
| 053 | Replace Background     | استبدال الخلفية      | replace-background     |
| 054 | Blur Background        | تمويه الخلفية        | blur-background        |
| 055 | Solid Background       | خلفية بلون ثابت      | solid-background       |
| 056 | Gradient Background    | خلفية متدرجة         | gradient-background    |
| 057 | Studio Background      | خلفية استوديو        | studio-background      |
| 058 | White Background       | خلفية بيضاء          | white-background       |
| 059 | Black Background       | خلفية سوداء          | black-background       |
| 060 | Passport Background    | خلفية صور جواز السفر | passport-background    |

Watermark

| #   | English                | العربية                       | Slug                   |
| --- | ---------------------- | ----------------------------- | ---------------------- |
| 061 | Add Watermark          | إضافة علامة مائية             | image-watermark        |
| 062 | Remove Watermark       | إزالة علامة مائية             | remove-watermark       |
| 063 | Add Logo               | إضافة شعار                    | add-logo               |
| 064 | Remove Logo            | إزالة شعار                    | remove-logo            |
| 065 | Text Watermark         | علامة مائية نصية              | text-watermark         |
| 066 | Image Watermark        | علامة مائية بصورة             | image-watermark-tool   |
| 067 | Batch Watermark        | علامة مائية جماعية            | batch-watermark        |
| 068 | Batch Remove Watermark | إزالة العلامة المائية جماعيًا | batch-remove-watermark |

AI Editing

| #   | English            | العربية             | Slug              |
| --- | ------------------ | ------------------- | ----------------- |
| 069 | Remove Objects     | إزالة العناصر       | remove-object     |
| 070 | Magic Eraser       | الممحاة السحرية     | magic-eraser      |
| 071 | Remove Person      | إزالة الأشخاص       | remove-person     |
| 072 | Remove Text        | إزالة النصوص        | remove-text       |
| 073 | Remove Shadows     | إزالة الظلال        | remove-shadow     |
| 074 | Remove Reflection  | إزالة الانعكاسات    | remove-reflection |
| 075 | Sky Replacement    | استبدال السماء      | replace-sky       |
| 076 | Object Replacement | استبدال عنصر        | replace-object    |
| 077 | AI Inpainting      | ملء المناطق الفارغة | ai-inpainting     |
| 078 | Outpainting        | توسيع الصورة        | outpainting       |

Color Tools

| #   | English       | العربية       | Slug          |
| --- | ------------- | ------------- | ------------- |
| 079 | Brightness    | تعديل السطوع  | brightness    |
| 080 | Contrast      | تعديل التباين | contrast      |
| 081 | Saturation    | تشبع الألوان  | saturation    |
| 082 | Hue           | درجة اللون    | hue           |
| 083 | Temperature   | حرارة اللون   | temperature   |
| 084 | Exposure      | التعريض       | exposure      |
| 085 | Gamma         | جاما          | gamma         |
| 086 | Vibrance      | الحيوية       | vibrance      |
| 087 | Color Balance | توازن الألوان | color-balance |
| 088 | Auto Enhance  | تحسين تلقائي  | auto-enhance  |

Filters

| #   | English       | العربية       | Slug         |
| --- | ------------- | ------------- | ------------ |
| 089 | Black & White | أبيض وأسود    | black-white  |
| 090 | Sepia         | سيبيا         | sepia        |
| 091 | Vintage       | فلتر كلاسيكي  | vintage      |
| 092 | Oil Painting  | رسم زيتي      | oil-painting |
| 093 | Sketch        | رسم بالقلم    | sketch       |
| 094 | Cartoon       | كرتون         | cartoon      |
| 095 | Anime Style   | ستايل أنمي    | anime-style  |
| 096 | Pixel Art     | بيكسل آرت     | pixel-art    |
| 097 | Glass Effect  | تأثير الزجاج  | glass-effect |
| 098 | Neon Effect   | تأثير النيون  | neon-effect  |
| 099 | HDR Effect    | تأثير HDR     | hdr-effect   |
| 100 | Film Effect   | تأثير سينمائي | film-effect  |

Adawaty Master Tools Database v1.0
Part 4 — Image Tools (101–200)

Category: Images

👤 Face & Portrait AI

| #   | English              | العربية                       | Slug               |
| --- | -------------------- | ----------------------------- | ------------------ |
| 101 | AI Face Enhancer     | تحسين الوجه بالذكاء الاصطناعي | ai-face-enhancer   |
| 102 | AI Portrait Enhancer | تحسين البورتريه               | portrait-enhancer  |
| 103 | Face Beautifier      | تجميل الوجه                   | face-beautifier    |
| 104 | Skin Smoother        | تنعيم البشرة                  | skin-smoother      |
| 105 | Remove Acne          | إزالة الحبوب                  | remove-acne        |
| 106 | Remove Wrinkles      | إزالة التجاعيد                | remove-wrinkles    |
| 107 | Whiten Teeth         | تبييض الأسنان                 | whiten-teeth       |
| 108 | Eye Enhancer         | تحسين العينين                 | eye-enhancer       |
| 109 | Eye Color Changer    | تغيير لون العين               | eye-color-changer  |
| 110 | Hair Color Changer   | تغيير لون الشعر               | hair-color-changer |
| 111 | Hair Style AI        | تجربة قصات الشعر              | hair-style-ai      |
| 112 | Beard Generator      | إضافة لحية                    | beard-generator    |
| 113 | Remove Beard         | إزالة اللحية                  | remove-beard       |
| 114 | Smile Generator      | إضافة ابتسامة                 | smile-generator    |
| 115 | Face Swap            | تبديل الوجوه                  | face-swap          |
| 116 | Multiple Face Swap   | تبديل عدة وجوه                | multi-face-swap    |
| 117 | Face Blur            | طمس الوجه                     | face-blur          |
| 118 | Face Pixelate        | تشويش الوجه                   | face-pixelate      |
| 119 | Age Progression      | تكبير العمر                   | age-progression    |
| 120 | Age Regression       | تصغير العمر                   | age-regression     |

🎨 AI Art

| #   | English                 | العربية               | Slug              |
| --- | ----------------------- | --------------------- | ----------------- |
| 121 | Image to Anime          | تحويل لأنمي           | image-to-anime    |
| 122 | Image to Cartoon        | تحويل لكرتون          | image-to-cartoon  |
| 123 | Image to Sketch         | تحويل لرسم            | image-to-sketch   |
| 124 | Image to Painting       | تحويل للوحة           | image-to-painting |
| 125 | Image to Watercolor     | تحويل للألوان المائية | watercolor-effect |
| 126 | Image to Pencil Drawing | رسم بالقلم            | pencil-drawing    |
| 127 | Image to Comic          | تحويل لكوميك          | comic-generator   |
| 128 | Image to Pixel Art      | تحويل Pixel Art       | pixel-art-ai      |
| 129 | Image to Lego           | تحويل إلى Lego        | lego-effect       |
| 130 | Image to Clay Style     | تحويل إلى Clay        | clay-style        |
| 131 | Image to Ghibli Style   | ستايل Ghibli          | ghibli-style      |
| 132 | Image to Pixar Style    | ستايل Pixar           | pixar-style       |
| 133 | Image to 3D Art         | تحويل إلى 3D          | image-to-3d       |
| 134 | Image to Oil Painting   | لوحة زيتية            | oil-painting-ai   |
| 135 | Image to Neon Art       | نيون                  | neon-art          |
| 136 | Image to Pop Art        | Pop Art               | pop-art           |
| 137 | Image to Low Poly       | Low Poly              | low-poly          |
| 138 | Image to Mosaic         | فسيفساء               | mosaic-art        |
| 139 | Image to ASCII          | ASCII Art             | ascii-art         |
| 140 | AI Style Transfer       | نقل الأسلوب الفني     | style-transfer    |

📷 Camera & EXIF

| #   | English              | العربية          | Slug             |
| --- | -------------------- | ---------------- | ---------------- |
| 141 | View EXIF            | عرض بيانات EXIF  | view-exif        |
| 142 | Remove EXIF          | حذف EXIF         | remove-exif      |
| 143 | Edit EXIF            | تعديل EXIF       | edit-exif        |
| 144 | GPS Remover          | حذف GPS          | remove-gps       |
| 145 | Camera Info          | معلومات الكاميرا | camera-info      |
| 146 | Lens Info            | معلومات العدسة   | lens-info        |
| 147 | ISO Viewer           | عرض ISO          | iso-viewer       |
| 148 | Shutter Speed Viewer | سرعة الغالق      | shutter-speed    |
| 149 | Aperture Viewer      | فتحة العدسة      | aperture-viewer  |
| 150 | Metadata Cleaner     | تنظيف Metadata   | metadata-cleaner |

🖼️ Social Media

| #   | English                  | العربية             | Slug              |
| --- | ------------------------ | ------------------- | ----------------- |
| 151 | Instagram Post Resizer   | مقاسات إنستجرام     | instagram-resizer |
| 152 | Instagram Story Maker    | قصص إنستجرام        | instagram-story   |
| 153 | Instagram Reel Thumbnail | غلاف Reel           | reel-thumbnail    |
| 154 | Facebook Cover Maker     | غلاف فيسبوك         | facebook-cover    |
| 155 | Facebook Post Resizer    | منشورات فيسبوك      | facebook-post     |
| 156 | Twitter Header Maker     | غلاف X              | twitter-header    |
| 157 | Twitter Post Size        | مقاسات X            | twitter-image     |
| 158 | LinkedIn Banner          | بانر LinkedIn       | linkedin-banner   |
| 159 | LinkedIn Post Image      | صورة منشور LinkedIn | linkedin-post     |
| 160 | YouTube Thumbnail        | غلاف يوتيوب         | youtube-thumbnail |
| 161 | YouTube Banner           | بانر يوتيوب         | youtube-banner    |
| 162 | TikTok Cover             | غلاف TikTok         | tiktok-cover      |
| 163 | Pinterest Pin Creator    | منشور Pinterest     | pinterest-pin     |
